Overall Summary Statistics
,Units Sold (in $),Manufacturing Price (in $),Sale Price (in $),Gross Sales (in $),COGS (in $),Profit (in $)
count,695.0,695.0,695.0,695.0,695.0,695.0
mean,1609.601438848921,96.74676258992805,118.38129496402878,182791.32877697842,145290.19856115108,24307.485309352516
std,867.8165698148359,108.61176284882465,137.26619606929825,255038.27012030932,204428.17294520725,42865.115657436836
min,200.0,3.0,7.0,1799.0,918.0,-40617.5
25%,905.0,5.0,12.0,17325.0,7480.0,2929.3199999999997
50%,1545.0,10.0,20.0,37080.0,21980.0,9297.0
75%,2230.75,250.0,300.0,280850.0,245905.0,22777.5
max,4492.5,260.0,350.0,1207500.0,950625.0,262200.0


Segment Performance
Segment,Profit (in $),Sales (in $)
Government,11388173.18,52504260.68
Small Business,4143168.5,42427918.5
Channel Partners,1316803.1400000001,1800593.64
Midmarket,660103.09,2381883.09
Enterprise,-614545.62,18755734.38


Country Summary
Country,Profit (in $),Sales (in $)
France,3781020.79,23995612.29
Germany,3680388.82,23409940.82
Canada,3529228.89,24887654.89
United States of America,2995540.68,25029830.18
Mexico,2907523.11,20547352.11


Product Summary
Product,Profit (in $),Sales (in $)
Paseo,4797437.96,32420623.96
VTT,3034608.02,20511921.02
Amarilla,2814104.07,17618236.07
Velo,2305992.47,18250059.47
Montana,2114754.88,15254241.88
Carretera,1826804.89,13815307.89
